"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0",0.0044,20,"0","N1",0.049,NA,NA,NA,NA
"0",-0.0077,50,"0","N1",0.07,NA,NA,NA,NA
"0",-0.0056,80,"0","N1",0.056,NA,NA,NA,NA
"0",-0.0014,110,"0","N1",0.05,NA,NA,NA,NA
"0.3",-7e-04,20,"0","N1",0.051,NA,NA,NA,NA
"0.3",-0.0066,50,"0","N1",0.058,NA,NA,NA,NA
"0.3",0.0013,80,"0","N1",0.051,NA,NA,NA,NA
"0.3",0.0078,110,"0","N1",0.062,NA,NA,NA,NA
"0.5",0.0059,20,"0","N1",0.053,NA,NA,NA,NA
"0.5",0.0119,50,"0","N1",0.053,NA,NA,NA,NA
"0.5",0.0013,80,"0","N1",0.044,NA,NA,NA,NA
"0.5",-0.0061,110,"0","N1",0.045,NA,NA,NA,NA
"0.7",-0.0072,20,"0","N1",0.057,NA,NA,NA,NA
"0.7",-0.005,50,"0","N1",0.04,NA,NA,NA,NA
"0.7",-0.006,80,"0","N1",0.045,NA,NA,NA,NA
"0.7",-0.0028,110,"0","N1",0.058,NA,NA,NA,NA
"0",0.0044,20,"0","N2",0.005,0.017,0.0514256255454962,-0.0464256255454962,-0.0344256255454962
"0",-0.0164,20,"0.2","N2",0.007,0.025,0.044961873300681,-0.037961873300681,-0.019961873300681
"0",5e-04,20,"0.4","N2",0.01,0.037,0.0501603986209764,-0.0401603986209764,-0.0131603986209764
"0",0.0049,20,"0.6","N2",0.017,0.035,0.0515896535300304,-0.0345896535300304,-0.0165896535300304
"0",0.0132,20,"0.8","N2",0.036,0.059,0.0543737322487676,-0.0183737322487676,0.00462626775123237
"0",-0.0077,50,"0","N2",0.002,0.028,0.0461789517350493,-0.0441789517350493,-0.0181789517350493
"0",-0.0094,50,"0.2","N2",0.002,0.04,0.0453677798468892,-0.0433677798468892,-0.00536777984688922
"0",-0.003,50,"0.4","N2",0.01,0.056,0.0484823339507656,-0.0384823339507656,0.00751766604923438
"0",0.0157,50,"0.6","N2",0.018,0.047,0.0585697600031645,-0.0405697600031645,-0.0115697600031645
"0",0.0086,50,"0.8","N2",0.028,0.062,0.0545612790864234,-0.0265612790864234,0.00743872091357661
"0",-0.0056,80,"0","N2",0.002,0.024,0.0464670017187219,-0.0444670017187219,-0.0224670017187219
"0",0.004,80,"0.2","N2",0.002,0.038,0.0526522911583864,-0.0506522911583864,-0.0146522911583864
"0",-0.0056,80,"0.4","N2",0.003,0.049,0.0464670017187219,-0.0434670017187219,0.00253299828127813
"0",0.0092,80,"0.6","N2",0.023,0.055,0.0562657974947889,-0.0332657974947889,-0.00126579749478888
"0",0.0019,80,"0.8","N2",0.021,0.046,0.0512462443534359,-0.0302462443534359,-0.00524624435343594
"0",-0.0014,110,"0","N2",0.002,0.034,0.0489415481058668,-0.0469415481058668,-0.0149415481058668
"0",-0.0043,110,"0.2","N2",0.004,0.038,0.0468060112862064,-0.0428060112862064,-0.00880601128620643
"0",-0.0017,110,"0.4","N2",0.009,0.043,0.0487170827457398,-0.0397170827457398,-0.00571708274573983
"0",0.0025,110,"0.6","N2",0.016,0.054,0.0519354233454602,-0.0359354233454602,0.0020645766545398
"0",-4e-04,110,"0.8","N2",0.021,0.056,0.0496957391900033,-0.0286957391900033,0.00630426080999675
"0.3",-7e-04,20,"0","N2",0.007,0.021,0.0497761292479744,-0.0427761292479744,-0.0287761292479744
"0.3",0.1354,20,"0.2","N2",0.02,0.061,0.110426922804357,-0.0904269228043567,-0.0494269228043567
"0.3",0.1844,20,"0.4","N2",0.047,0.126,0.141845709173815,-0.0948457091738151,-0.0158457091738151
"0.3",0.2336,20,"0.6","N2",0.087,0.184,0.178982017583802,-0.091982017583802,0.00501798241619805
"0.3",0.2393,20,"0.8","N2",0.108,0.203,0.183648498060673,-0.0756484980606727,0.0193515019393273
"0.3",-0.0066,50,"0","N2",0.002,0.028,0.0467100059862365,-0.0447100059862365,-0.0187100059862365
"0.3",0.1343,50,"0.2","N2",0.034,0.184,0.164041638869946,-0.130041638869946,0.0199583611300542
"0.3",0.1939,50,"0.4","N2",0.098,0.308,0.247606386569371,-0.149606386569371,0.0603936134306294
"0.3",0.2382,50,"0.6","N2",0.196,0.385,0.32201397729113,-0.12601397729113,0.0629860227088703
"0.3",0.2615,50,"0.8","N2",0.266,0.413,0.364528020305439,-0.0985280203054394,0.0484719796945606
"0.3",0.0013,80,"0","N2",0.001,0.027,0.0508500514077108,-0.0498500514077108,-0.0238500514077108
"0.3",0.1284,80,"0.2","N2",0.057,0.258,0.201505710258423,-0.144505710258423,0.0564942897415769
"0.3",0.1872,80,"0.4","N2",0.157,0.412,0.320620082072895,-0.163620082072895,0.0913799179271046
"0.3",0.2339,80,"0.6","N2",0.281,0.544,0.431767307465354,-0.150767307465354,0.112232692534646
"0.3",0.2698,80,"0.8","N2",0.426,0.58,0.521611938998076,-0.0956119389980759,0.0583880610019241
"0.3",0.0078,110,"0","N2",0.003,0.033,0.0562352044317528,-0.0532352044317528,-0.0232352044317528
"0.3",0.1329,110,"0.2","N2",0.087,0.324,0.253890047578344,-0.166890047578344,0.0701099524216562
"0.3",0.185,110,"0.4","N2",0.214,0.545,0.390845919252392,-0.176845919252392,0.154154080747608
"0.3",0.2288,110,"0.6","N2",0.39,0.659,0.518625536207834,-0.128625536207834,0.140374463792166
"0.3",0.2653,110,"0.8","N2",0.534,0.694,0.624208596564951,-0.0902085965649513,0.0697914034350486
"0.5",0.0059,20,"0","N2",0.005,0.022,0.0519189570887929,-0.0469189570887929,-0.0299189570887929
"0.5",0.2117,20,"0.2","N2",0.039,0.12,0.161754947635636,-0.122754947635636,-0.0417549476356364
"0.5",0.3283,20,"0.4","N2",0.098,0.267,0.265940766879974,-0.167940766879974,0.0010592331200262
"0.5",0.3736,20,"0.6","N2",0.189,0.368,0.31403195012259,-0.12503195012259,0.0539680498774099
"0.5",0.445,20,"0.8","N2",0.327,0.458,0.396380872887335,-0.0693808728873348,0.0616191271126652
"0.5",0.0119,50,"0","N2",0.002,0.018,0.0563965379446899,-0.0543965379446899,-0.0383965379446899
"0.5",0.2284,50,"0.2","N2",0.134,0.385,0.304768271585789,-0.170768271585789,0.0802317284142106
"0.5",0.3159,50,"0.4","N2",0.278,0.584,0.469603015544183,-0.191603015544183,0.114396984455817
"0.5",0.3707,50,"0.6","N2",0.467,0.714,0.577628035042609,-0.110628035042609,0.136371964957391
"0.5",0.4314,50,"0.8","N2",0.641,0.777,0.690482249537468,-0.0494822495374684,0.0865177504625316
"0.5",0.0013,80,"0","N2",0.003,0.023,0.0508500514077108,-0.0478500514077108,-0.0278500514077108
"0.5",0.2231,80,"0.2","N2",0.205,0.53,0.405208379471423,-0.200208379471423,0.124791620528577
"0.5",0.3172,80,"0.4","N2",0.481,0.786,0.63784126314328,-0.15684126314328,0.14815873685672
"0.5",0.3785,80,"0.6","N2",0.669,0.887,0.769961705379338,-0.100961705379338,0.117038294620662
"0.5",0.4348,80,"0.8","N2",0.816,0.909,0.862859810760646,-0.046859810760646,0.046140189239354
