"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0",0.0101,20,"0","N1",0.053,NA,NA,NA,NA
"0",-0.0112,50,"0","N1",0.052,NA,NA,NA,NA
"0",-0.0022,80,"0","N1",0.041,NA,NA,NA,NA
"0",-0.0057,110,"0","N1",0.044,NA,NA,NA,NA
"0.3",0.2897,20,"0","N1",0.25,NA,NA,NA,NA
"0.3",0.295,50,"0","N1",0.431,NA,NA,NA,NA
"0.3",0.3049,80,"0","N1",0.592,NA,NA,NA,NA
"0.3",0.2875,110,"0","N1",0.71,NA,NA,NA,NA
"0.5",0.4774,20,"0","N1",0.46,NA,NA,NA,NA
"0.5",0.4741,50,"0","N1",0.813,NA,NA,NA,NA
"0.5",0.4832,80,"0","N1",0.95,NA,NA,NA,NA
"0.5",0.486,110,"0","N1",0.976,NA,NA,NA,NA
"0.7",0.6592,20,"0","N1",0.707,NA,NA,NA,NA
"0.7",0.6548,50,"0","N1",0.972,NA,NA,NA,NA
"0.7",0.6601,80,"0","N1",0.996,NA,NA,NA,NA
"0.7",0.6601,110,"0","N1",0.997,NA,NA,NA,NA
"0",0.0101,20,"0","N2",0.001,0.015,0.0533203055762171,-0.0523203055762171,-0.0383203055762171
"0",-0.011,20,"0.2","N2",0.005,0.027,0.0465735901212763,-0.0415735901212763,-0.0195735901212763
"0",-0.0063,20,"0.4","N2",0.007,0.035,0.0480138195608516,-0.0410138195608516,-0.0130138195608516
"0",0.0053,20,"0.6","N2",0.015,0.041,0.0517211751504409,-0.0367211751504409,-0.0107211751504409
"0",-0.0122,20,"0.8","N2",0.017,0.043,0.0462114821780863,-0.0292114821780863,-0.00321148217808635
"0",-0.0112,50,"0","N2",0.002,0.017,0.0445214244863517,-0.0425214244863517,-0.0275214244863517
"0",0.01,50,"0.2","N2",0.004,0.032,0.0553340219527986,-0.0513340219527986,-0.0233340219527986
"0",0.0089,50,"0.4","N2",0.007,0.047,0.0547261443569442,-0.0477261443569442,-0.00772614435694423
"0",-0.0031,50,"0.6","N2",0.017,0.064,0.0484323866227812,-0.0314323866227812,0.0155676133772188
"0",-0.0043,50,"0.8","N2",0.017,0.047,0.0478362229267827,-0.0308362229267827,-0.00083622292678269
"0",-0.0022,80,"0","N2",0.003,0.043,0.0485873026716584,-0.0455873026716584,-0.00558730267165845
"0",-9e-04,80,"0.2","N2",0.007,0.039,0.0494181691856134,-0.0424181691856134,-0.0104181691856134
"0",0.0039,80,"0.4","N2",0.012,0.048,0.0525846494644444,-0.0405846494644444,-0.00458464946444441
"0",-0.0033,80,"0.6","N2",0.02,0.04,0.0478930185324075,-0.0278930185324075,-0.00789301853240746
"0",0.0055,80,"0.8","N2",0.028,0.046,0.0536752243376437,-0.0256752243376437,-0.00767522433764371
"0",-0.0057,110,"0","N2",0,0.023,0.045802156955662,-0.045802156955662,-0.022802156955662
"0",-0.0034,110,"0.2","N2",0.008,0.039,0.0474606133903381,-0.0394606133903381,-0.00846061339033814
"0",-0.0021,110,"0.4","N2",0.005,0.043,0.0484190764832563,-0.0434190764832563,-0.00541907648325628
"0",-0.0085,110,"0.6","N2",0.017,0.04,0.0438463799238825,-0.0268463799238825,-0.00384637992388252
"0",-4e-04,110,"0.8","N2",0.03,0.058,0.0496957391900033,-0.0196957391900033,0.00830426080999675
"0.3",0.2897,20,"0","N2",0.063,0.056,0.228131072094484,-0.165131072094484,-0.172131072094484
"0.3",0.2915,20,"0.2","N2",0.06,0.122,0.229824324299035,-0.169824324299035,-0.107824324299035
"0.3",0.2891,20,"0.4","N2",0.084,0.156,0.227568216871009,-0.143568216871009,-0.0715682168710089
"0.3",0.3006,20,"0.6","N2",0.11,0.151,0.238491464337165,-0.128491464337165,-0.0874914643371654
"0.3",0.2972,20,"0.8","N2",0.155,0.139,0.235232427520239,-0.0802324275202394,-0.0962324275202394
"0.3",0.295,50,"0","N2",0.194,0.147,0.428559497338362,-0.234559497338362,-0.281559497338361
"0.3",0.3081,50,"0.2","N2",0.223,0.349,0.454223681282026,-0.231223681282026,-0.105223681282026
"0.3",0.3134,50,"0.4","N2",0.283,0.31,0.464667690769716,-0.181667690769716,-0.154667690769716
"0.3",0.3004,50,"0.6","N2",0.297,0.292,0.439108427089187,-0.142108427089187,-0.147108427089187
"0.3",0.2954,50,"0.8","N2",0.35,0.249,0.429339247762957,-0.0793392477629566,-0.180339247762957
"0.3",0.3049,80,"0","N2",0.368,0.229,0.608432959346835,-0.240432959346835,-0.379432959346835
"0.3",0.2967,80,"0.2","N2",0.396,0.448,0.588465245193253,-0.192465245193253,-0.140465245193253
"0.3",0.2998,80,"0.4","N2",0.417,0.409,0.596044010756631,-0.179044010756632,-0.187044010756632
"0.3",0.3022,80,"0.6","N2",0.49,0.383,0.601886936070803,-0.111886936070803,-0.218886936070803
"0.3",0.2949,80,"0.8","N2",0.49,0.334,0.584049280084999,-0.0940492800849986,-0.250049280084999
"0.3",0.2875,110,"0","N2",0.522,0.233,0.684627985900704,-0.162627985900704,-0.451627985900704
"0.3",0.2952,110,"0.2","N2",0.535,0.495,0.70457570926366,-0.16957570926366,-0.20957570926366
