"ES","obsES","nsub","corr","N1","N2","N4","N6","N8","N10","N12","PC2","PC4","PC6","PC8","PC10","PC12"
0,0.0044,20,0,0.049,0.005,0.013,0.037,0.053,0.016,0.024,0.017,0.004,0.003,0.005,0.013,0
0,-0.0164,20,0.2,NA,0.007,0.022,0.011,0.023,0.033,0.017,0.025,0.02,0.023,0.007,0.022,0
0,5e-04,20,0.4,NA,0.01,0.042,0.03,0.049,0.066,0.053,0.037,0.035,0.027,0.01,0.042,0.001
0,0.0049,20,0.6,NA,0.017,0.016,0.03,0.029,0.039,0.043,0.035,0.045,0.044,0.017,0.043,0.006
0,0.0132,20,0.8,NA,0.036,0.036,0.054,0.053,0.062,0.055,0.059,0.056,0.063,0.036,0.058,0.017
0,-0.0077,50,0,0.07,0.002,0.017,0.04,0.067,0.019,0.027,0.028,0.013,0.015,0.002,0.017,0
0,-0.0094,50,0.2,NA,0.002,0.026,0.01,0.023,0.044,0.021,0.04,0.036,0.04,0.002,0.026,0
0,-0.003,50,0.4,NA,0.01,0.04,0.023,0.036,0.056,0.043,0.056,0.048,0.051,0.01,0.04,0.001
0,0.0157,50,0.6,NA,0.018,0.022,0.039,0.032,0.044,0.038,0.047,0.054,0.059,0.018,0.051,0.008
0,0.0086,50,0.8,NA,0.028,0.038,0.06,0.056,0.068,0.061,0.062,0.065,0.066,0.028,0.069,0.01
0,-0.0056,80,0,0.056,0.002,0.016,0.032,0.057,0.015,0.022,0.024,0.021,0.009,0.002,0.016,0
0,0.004,80,0.2,NA,0.002,0.023,0.009,0.022,0.032,0.016,0.038,0.039,0.044,0.002,0.023,0
0,-0.0056,80,0.4,NA,0.003,0.033,0.019,0.037,0.061,0.036,0.049,0.05,0.051,0.003,0.033,0
0,0.0092,80,0.6,NA,0.023,0.024,0.044,0.04,0.053,0.049,0.055,0.057,0.059,0.023,0.06,0.006
0,0.0019,80,0.8,NA,0.021,0.031,0.041,0.037,0.045,0.044,0.046,0.043,0.043,0.021,0.047,0.011
0,-0.0014,110,0,0.05,0.002,0.009,0.02,0.039,0.004,0.015,0.034,0.021,0.016,0.002,0.009,0
0,-0.0043,110,0.2,NA,0.004,0.019,0.015,0.029,0.038,0.024,0.038,0.05,0.043,0.004,0.019,0
0,-0.0017,110,0.4,NA,0.009,0.04,0.021,0.034,0.046,0.034,0.043,0.036,0.035,0.009,0.04,0.001
0,0.0025,110,0.6,NA,0.016,0.017,0.039,0.028,0.039,0.034,0.054,0.052,0.051,0.016,0.053,0.001
0,-4e-04,110,0.8,NA,0.021,0.027,0.044,0.039,0.049,0.048,0.056,0.05,0.048,0.021,0.06,0.01
0.3,-7e-04,20,0,0.051,0.007,0.025,0.04,0.076,0.011,0.019,0.021,0.009,0.002,0.007,0.025,0
0.3,0.1354,20,0.2,NA,0.02,0.071,0.045,0.096,0.143,0.085,0.061,0.081,0.076,0.02,0.071,0.001
0.3,0.1844,20,0.4,NA,0.047,0.141,0.107,0.169,0.209,0.171,0.126,0.144,0.145,0.047,0.141,0.012
0.3,0.2336,20,0.6,NA,0.087,0.098,0.173,0.16,0.204,0.193,0.184,0.197,0.193,0.087,0.192,0.043
0.3,0.2393,20,0.8,NA,0.108,0.137,0.196,0.191,0.228,0.215,0.203,0.211,0.215,0.108,0.207,0.076
0.3,-0.0066,50,0,0.058,0.002,0.016,0.041,0.076,0.013,0.025,0.028,0.011,0.004,0.002,0.016,0
0.3,0.1343,50,0.2,NA,0.034,0.145,0.105,0.166,0.236,0.176,0.184,0.213,0.231,0.034,0.145,0.006
0.3,0.1939,50,0.4,NA,0.098,0.296,0.251,0.335,0.405,0.355,0.308,0.358,0.359,0.098,0.296,0.034
0.3,0.2382,50,0.6,NA,0.196,0.23,0.349,0.339,0.393,0.375,0.385,0.4,0.411,0.196,0.384,0.119
0.3,0.2615,50,0.8,NA,0.266,0.311,0.401,0.389,0.427,0.417,0.413,0.414,0.417,0.266,0.42,0.186
