"ES","obsES","nsub","corr","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
0,-3e-04,20,0,0.0534,0.0027,0.0085,0.0136,0.023,0.0336,0.0449,0.0054,0.0076,0.0113,0.0156,0.0197,0.0506,0.0498,0.0489,0.0513,0.05,0.0506,0.0506,0.0489,0.0473,0.0462,0.1004
0,0.0016,20,0.2,NA,0.0051,0.0134,0.0232,0.0367,0.0098,0.0148,0.0208,0.0264,0.0335,0.0409,0.018,0.0499,0.0497,0.0492,0.0489,0.0486,0.0506,0.0493,0.0493,0.0484,0.0497,0.092
0,0.0029,20,0.4,NA,0.0099,0.0232,0.0383,0.0142,0.0214,0.0304,0.0394,0.0483,0.0269,0.0336,0.0397,0.0512,0.0498,0.0496,0.048,0.0488,0.0496,0.0492,0.0488,0.0485,0.0483,0.0955
0,0.0016,20,0.6,NA,0.0139,0.0287,0.0425,0.0241,0.0325,0.0408,0.027,0.0333,0.0382,0.0292,0.0336,0.0457,0.046,0.0458,0.0469,0.0465,0.0472,0.0452,0.0454,0.0453,0.0463,0.0835
0,-3e-04,20,0.8,NA,0.0246,0.0432,0.0298,0.0385,0.047,0.0381,0.0432,0.0499,0.0426,0.0471,0.0408,0.0489,0.0514,0.0513,0.05,0.0499,0.049,0.0492,0.0501,0.051,0.0514,0.0738
0,-7e-04,50,0,0.0512,0.0028,0.0063,0.0143,0.0233,0.0333,0.0445,0.006,0.0089,0.0121,0.016,0.0198,0.0479,0.0468,0.0495,0.051,0.0505,0.0524,0.0513,0.0488,0.0488,0.0492,0.0981
0,-8e-04,50,0.2,NA,0.0049,0.0133,0.0251,0.0377,0.0085,0.0141,0.0199,0.0268,0.0346,0.042,0.0182,0.0464,0.0476,0.0485,0.0456,0.0438,0.0447,0.0453,0.0448,0.0458,0.0475,0.0953
0,-0.0014,50,0.4,NA,0.0076,0.0188,0.0318,0.0122,0.0186,0.0273,0.0354,0.0424,0.0246,0.0303,0.0364,0.0452,0.0459,0.0465,0.0464,0.0472,0.0483,0.0474,0.0478,0.0471,0.047,0.0881
0,7e-04,50,0.6,NA,0.0166,0.0334,0.0482,0.0264,0.0352,0.0455,0.0299,0.0378,0.044,0.0327,0.0374,0.0512,0.0506,0.0524,0.052,0.0516,0.0512,0.052,0.0502,0.05,0.0504,0.0895
0,-6e-04,50,0.8,NA,0.022,0.0392,0.026,0.0347,0.0451,0.0345,0.0418,0.0483,0.04,0.0443,0.0369,0.0477,0.0488,0.0487,0.0481,0.0496,0.0508,0.0503,0.0504,0.0501,0.0506,0.0752
0,1e-04,80,0,0.0488,0.0018,0.0074,0.014,0.0219,0.0333,0.0446,0.0066,0.0095,0.013,0.0167,0.0216,0.0512,0.0506,0.0508,0.0512,0.052,0.0516,0.0495,0.0507,0.0507,0.0542,0.0995
0,-4e-04,80,0.2,NA,0.0054,0.012,0.0219,0.0355,0.0096,0.0147,0.0206,0.0265,0.0335,0.0415,0.0169,0.0485,0.048,0.0481,0.0476,0.0483,0.048,0.0479,0.0468,0.0472,0.0469,0.092
0,0.0017,80,0.4,NA,0.0094,0.0239,0.0378,0.0157,0.024,0.0309,0.039,0.0485,0.0281,0.034,0.0407,0.0512,0.0534,0.0522,0.0522,0.0518,0.0527,0.0519,0.0524,0.0537,0.0536,0.0946
0,0.0011,80,0.6,NA,0.015,0.0309,0.046,0.0247,0.0343,0.0429,0.0302,0.0355,0.0412,0.0312,0.0354,0.0502,0.0498,0.0485,0.0498,0.0504,0.0498,0.0483,0.0498,0.0487,0.049,0.0836
0,8e-04,80,0.8,NA,0.0252,0.0414,0.0294,0.0383,0.0463,0.0357,0.0416,0.0473,0.0404,0.0445,0.0388,0.0487,0.0489,0.048,0.05,0.0499,0.0487,0.0492,0.05,0.0485,0.0497,0.0752
0,0,110,0,0.0525,0.0026,0.008,0.0149,0.0232,0.0332,0.0443,0.0052,0.0075,0.0103,0.0142,0.019,0.0487,0.0468,0.0479,0.0472,0.0482,0.0475,0.0481,0.0499,0.0499,0.0538,0.098
0,2e-04,110,0.2,NA,0.0045,0.0143,0.0239,0.0374,0.011,0.0157,0.0219,0.0291,0.0371,0.0447,0.0205,0.0488,0.0487,0.0471,0.0476,0.0477,0.0489,0.0508,0.0492,0.0514,0.0516,0.1023
0,3e-04,110,0.4,NA,0.0111,0.0242,0.0381,0.0172,0.0241,0.0316,0.0396,0.0486,0.0301,0.0358,0.0414,0.0491,0.0513,0.0509,0.0507,0.0529,0.0526,0.0516,0.0516,0.0504,0.0525,0.092
0,-7e-04,110,0.6,NA,0.017,0.034,0.0481,0.0281,0.039,0.0483,0.0332,0.0395,0.0464,0.0347,0.0396,0.0555,0.0552,0.0547,0.0534,0.054,0.0531,0.0527,0.0549,0.0542,0.0541,0.0867
0,0.0012,110,0.8,NA,0.0262,0.0418,0.0289,0.0392,0.047,0.0379,0.0438,0.0489,0.0419,0.0462,0.0413,0.0502,0.0505,0.0506,0.0512,0.0513,0.0517,0.0518,0.0517,0.052,0.052,0.0763
0.3,0.3052,20,0,0.2298,0.0517,0.1397,0.2344,0.3355,0.4363,0.5251,0.2932,0.3656,0.4418,0.5061,0.5686,0.2797,0.2996,0.3223,0.3385,0.3599,0.3699,0.3798,0.3997,0.4143,0.4239,0.4081
0.3,0.3062,20,0.2,NA,0.0764,0.1696,0.2637,0.3415,0.1978,0.2539,0.3117,0.3641,0.4107,0.4535,0.3354,0.3599,0.4045,0.4419,0.4696,0.4911,0.51,0.5209,0.533,0.5466,0.552,0.3957
0.3,0.3066,20,0.4,NA,0.1001,0.1865,0.2691,0.1682,0.2253,0.2742,0.3178,0.3569,0.2757,0.3059,0.3328,0.3231,0.3437,0.3633,0.3712,0.3784,0.3857,0.3902,0.395,0.4001,0.3992,0.3738
0.3,0.3052,20,0.6,NA,0.1237,0.2058,0.2714,0.1978,0.2413,0.279,0.2237,0.2555,0.2803,0.2378,0.2604,0.2864,0.2966,0.2996,0.304,0.3064,0.3096,0.3111,0.3116,0.3124,0.3142,0.3509
0.3,0.3065,20,0.8,NA,0.1596,0.2277,0.1806,0.2223,0.2541,0.2208,0.2447,0.2632,0.2399,0.2554,0.2358,0.2608,0.2652,0.2669,0.2712,0.2699,0.2695,0.2718,0.2724,0.2722,0.2738,0.3171
0.3,0.3016,50,0,0.4305,0.1864,0.4041,0.5821,0.7261,0.8219,0.8861,0.7557,0.833,0.8845,0.9238,0.9489,0.4975,0.5302,0.5514,0.5679,0.5869,0.6077,0.6301,0.6462,0.6642,0.6854,0.6812
0.3,0.302,50,0.2,NA,0.2215,0.4189,0.5676,0.6728,0.5192,0.6091,0.6763,0.7322,0.7761,0.8118,0.7247,0.6932,0.7507,0.7896,0.8171,0.8402,0.8533,0.8656,0.8736,0.8807,0.8895,0.6583
0.3,0.3055,50,0.4,NA,0.2609,0.4353,0.5474,0.4277,0.5101,0.5716,0.6213,0.6592,0.5832,0.6209,0.6526,0.6118,0.6486,0.6689,0.6846,0.6949,0.7069,0.7111,0.72,0.7201,0.7244,0.627
0.3,0.3036,50,0.6,NA,0.2873,0.4315,0.5188,0.4301,0.4924,0.5367,0.4758,0.5131,0.546,0.4987,0.5268,0.5416,0.5565,0.5666,0.5722,0.5788,0.5805,0.5841,0.5881,0.5927,0.5947,0.5882
0.3,0.3047,50,0.8,NA,0.3364,0.4344,0.3815,0.4409,0.4797,0.439,0.4683,0.4926,0.464,0.4838,0.4589,0.4873,0.4945,0.4981,0.4999,0.5017,0.5046,0.5073,0.5085,0.5081,0.5089,0.5458
0.3,0.3014,80,0,0.6095,0.3545,0.6511,0.8259,0.9155,0.9605,0.9799,0.9462,0.9715,0.9865,0.9937,0.9969,0.6411,0.6647,0.6876,0.7053,0.7235,0.7442,0.7648,0.7825,0.8031,0.8195,0.8396
0.3,0.3017,80,0.2,NA,0.382,0.6331,0.7735,0.8528,0.7532,0.8259,0.8722,0.9028,0.9267,0.945,0.9083,0.8638,0.9086,0.934,0.9477,0.9568,0.9634,0.9696,0.973,0.9762,0.9785,0.8092
0.3,0.3006,80,0.4,NA,0.4134,0.6143,0.7277,0.6223,0.7003,0.7572,0.7983,0.8307,0.7769,0.8058,0.8302,0.7811,0.8123,0.8319,0.8426,0.8533,0.8595,0.8659,0.8708,0.873,0.8764,0.7744
0.3,0.3009,80,0.6,NA,0.4507,0.609,0.6951,0.6156,0.6733,0.7115,0.6607,0.6942,0.7214,0.6825,0.7053,0.7128,0.7287,0.7398,0.7466,0.7504,0.7556,0.7586,0.7628,0.7659,0.7661,0.7405
0.3,0.3029,80,0.8,NA,0.5061,0.6102,0.5543,0.6069,0.6458,0.6113,0.6415,0.6626,0.6342,0.6522,0.6304,0.656,0.662,0.6652,0.6683,0.6704,0.6729,0.6764,0.6767,0.6768,0.6778,0.6998
0.3,0.3014,110,0,0.7189,0.5114,0.8048,0.9291,0.9757,0.9925,0.9983,0.9925,0.9974,0.9988,0.9996,0.9999,0.7164,0.7316,0.7586,0.7814,0.8026,0.8217,0.838,0.8541,0.8687,0.8816,0.9186
0.3,0.3014,110,0.2,NA,0.5437,0.7829,0.8866,0.9357,0.885,0.9283,0.9514,0.9666,0.9765,0.9828,0.9693,0.9414,0.9666,0.977,0.9846,0.9887,0.9909,0.994,0.9947,0.9961,0.9968,0.8904
0.3,0.2986,110,0.4,NA,0.549,0.7463,0.8359,0.765,0.8278,0.8706,0.8988,0.9158,0.8839,0.902,0.9181,0.881,0.9001,0.9159,0.9244,0.931,0.9348,0.9385,0.9424,0.9462,0.9479,0.8587
0.3,0.299,110,0.6,NA,0.5871,0.7411,0.8068,0.7461,0.7944,0.8278,0.7879,0.8176,0.8373,0.8079,0.8276,0.8251,0.8389,0.8487,0.8571,0.8622,0.865,0.8675,0.8684,0.871,0.8735,0.8335
0.3,0.3032,110,0.8,NA,0.6308,0.7265,0.6821,0.7318,0.7645,0.7357,0.7585,0.7766,0.7554,0.7713,0.7537,0.7715,0.7795,0.7825,0.7857,0.7875,0.7899,0.7902,0.793,0.7938,0.7946,0.8033
0.5,0.5081,20,0,0.4579,0.207,0.4408,0.6313,0.7672,0.855,0.909,0.802,0.867,0.9132,0.9456,0.9652,0.5732,0.6239,0.6667,0.7017,0.7309,0.7594,0.782,0.8018,0.821,0.8395,0.7069
0.5,0.513,20,0.2,NA,0.251,0.454,0.5988,0.7038,0.5593,0.6469,0.7162,0.7674,0.8107,0.8422,0.767,0.6967,0.7662,0.8098,0.8377,0.8595,0.8752,0.8867,0.8942,0.9038,0.9083,0.685
0.5,0.5122,20,0.4,NA,0.2763,0.4577,0.5682,0.4512,0.5376,0.5979,0.6501,0.6904,0.6119,0.6505,0.6828,0.6338,0.6665,0.6911,0.7073,0.7185,0.7254,0.7343,0.7423,0.748,0.7507,0.6505
0.5,0.5132,20,0.6,NA,0.3112,0.4559,0.5459,0.4524,0.5162,0.5633,0.5016,0.5399,0.5725,0.5295,0.5576,0.5707,0.585,0.5974,0.6055,0.6095,0.6171,0.6199,0.6213,0.6233,0.6256,0.61
0.5,0.5081,20,0.8,NA,0.3621,0.463,0.4051,0.4611,0.4982,0.4626,0.4918,0.5134,0.4828,0.5026,0.4788,0.5076,0.5149,0.52,0.5199,0.5231,0.5252,0.5273,0.5278,0.5277,0.5291,0.5657
0.5,0.5036,50,0,0.7947,0.6295,0.8953,0.9719,0.9925,0.9981,0.9997,0.9989,0.9998,1,1,1,0.8418,0.867,0.8928,0.9159,0.9376,0.9525,0.9649,0.9718,0.9808,0.9834,0.9585
